OS,N,Tasks,Device,Kernel,Avg_Service_Time_ms,Avg_In_Node_Time_ms,Avg_Compute_Time_ms,Avg_Overhead_Time_ms,Throughput_tasks_s,Total_Time_s,Status
MacOS,10000,100,cpu_ff,vecAdd,,,,,9763.88,0.0102418,Success
MacOS,10000,100,cpu_ff,polynomial_op,,,,,6743.75,0.0148285,Success
MacOS,10000,100,cpu_ff,heavy_compute_kernel,,,,,1924.14,0.0519712,Success
MacOS,10000,100,gpu_opencl,vecAdd,0.225015,16.8271,0.266967,16.5601,329.679,0.303325,Success
MacOS,10000,100,gpu_opencl,polynomial_op,0.274876,16.456,0.281306,16.1747,924.18,0.108204,Success
MacOS,10000,100,gpu_opencl,heavy_compute_kernel,0.288459,16.2246,0.294667,15.93,890.056,0.112352,Success
MacOS,10000,100,gpu_metal,vecAdd,0.137665,9.26525,0.130021,9.13522,1250.15,0.0799901,Success
MacOS,10000,100,gpu_metal,polynomial_op,0.096922,6.54249,0.086213,6.45627,1251.89,0.0798795,Success
MacOS,10000,100,gpu_metal,heavy_compute_kernel,0.100671,7.53704,0.094751,7.44229,1336.56,0.074819,Success
MacOS,1000000,100,cpu_ff,vecAdd,,,,,223.894,0.446641,Success
MacOS,1000000,100,cpu_ff,polynomial_op,,,,,128.958,0.775449,Success
MacOS,1000000,100,cpu_ff,heavy_compute_kernel,,,,,20.4739,4.88426,Success
MacOS,1000000,100,gpu_opencl,vecAdd,0.769627,44.2486,0.788513,43.4601,640.507,0.156126,Success
MacOS,1000000,100,gpu_opencl,polynomial_op,0.797577,45.081,0.81435,44.2667,620.28,0.161218,Success
MacOS,1000000,100,gpu_opencl,heavy_compute_kernel,1.47339,76.2806,1.49183,74.7888,465.23,0.214947,Success
MacOS,1000000,100,gpu_metal,vecAdd,0.505829,37.6104,0.319763,37.2907,833.565,0.119967,Success
MacOS,1000000,100,gpu_metal,polynomial_op,0.458884,34.3649,0.308935,34.056,905.637,0.11042,Success
MacOS,1000000,100,gpu_metal,heavy_compute_kernel,0.791846,67.4698,0.575704,66.8941,653.818,0.152948,Success
MacOS,7449999,100,cpu_ff,vecAdd,,,,,31.9008,3.13472,Success
MacOS,7449999,100,cpu_ff,polynomial_op,,,,,18.6384,5.36526,Success
MacOS,7449999,100,cpu_ff,heavy_compute_kernel,,,,,3.16973,31.5484,Success
MacOS,7449999,100,gpu_opencl,vecAdd,3.65925,199.781,3.71077,196.071,221.667,0.451128,Success
MacOS,7449999,100,gpu_opencl,polynomial_op,3.48706,191.836,3.58128,188.254,228.286,0.438048,Success
MacOS,7449999,100,gpu_opencl,heavy_compute_kernel,5.21632,280.353,5.32454,275.029,162.297,0.616155,Success
MacOS,7449999,100,gpu_metal,vecAdd,3.40932,222.007,1.20725,220.8,226.194,0.442098,Success
MacOS,7449999,100,gpu_metal,polynomial_op,3.3377,216.074,1.21215,214.862,230.698,0.433466,Success
MacOS,7449999,100,gpu_metal,heavy_compute_kernel,3.08076,205.023,1.30179,203.721,241.444,0.414174,Success
